# ----------------------------------------
# Koszulkowy.pl – GA4
# Untitled exploration-Free form 1
# 20251201-20251231
# ----------------------------------------

Landing page,ARPU,Average purchase revenue,Total revenue,Sessions,Transactions
,7.045117588078569,108.93929078929564,901690.509863,175596,8277,Grand total
(not set),7.560190388482445,106.59116813256006,257311.079872,41634,2414
/,8.246983768042126,124.23024703381014,95533.059969,15944,769
/1069-koszulki-i-gadzety-dla-fanow-serialu-ranczo,7.029179763127635,108.83756677744807,36678.260004,6455,337
/35121-wilkowyje-city-v2-dla-fanow-serialu-ranczo-meska-koszulka-na-prezent.html,5.899986481359861,104.96298973883161,30544.230014,6362,291
/36550-six-seven-67-italian-brainrot-dziecieca-bluza-na-prezent.html,10.3405346660066,130.00755202489626,31331.820038,3652,241
/36547-six-seven-67-italian-brainrot-dziecieca-koszulka-na-prezent.html,8.821608793395429,115.75911094444444,20836.63997,2725,180
/35341-z-laweczka-zadzierasz-ciulu-niemyty-dla-fanow-serialu-ranczo-kubek-na-prezent.html,6.46448386890437,75.05455903676472,10207.420029,2030,136
/34053-taka-moja-rola-wiedziec-michalowa-kubek-na-prezent-dla-fanow-serialu-ranczo.html,5.0197913669064755,75.8425,6977.51,1694,92
/35145-zeby-wilk-byl-syty-i-wilkowyje-city-dla-fanow-serialu-ranczo-kubek-na-prezent.html,3.2973931020092735,78.05170745121951,6400.240011,2258,82
/35117-wilkowyje-city-v2-dla-fanow-serialu-ranczo-kubek-na-prezent.html,5.992511851895735,70.24555559722222,5057.680003,1065,72
/1095-koszulki-i-gadzety-dla-fanow-serialu-1670,5.561089824306473,127.56803021212122,8419.489994,1730,66
/5409-przykro-mi-jestem-juz-zajety-przez-atrakcyjna-nauczycielke-meska-koszulka-z-nadrukiem.html,4.948653365752286,91.58815383076923,5953.229999,1476,65
/szukaj,8.935201379746836,133.8739655,7764.689999,1354,58
/37609-pani-to-je-lux-kobita-kubek-na-prezent-dla-fanow-serialu-ranczo.html,6.602415466183575,97.62142867857143,5466.800006,977,56
/3624-kochanie-jestes-wszystkim-czego-potrzebuje-magiczny-kubek-z-nadrukiem-5904508032844.html,4.3101282071005915,82.4616981509434,4370.470002,1232,53
/35630-swieca-o-zapachu-adamczychy-bez-andrzeja-swieczka-zapachowa-na-prezent-dla-fanow-serialu-1670.html,5.138808567911041,126.85803896078431,6469.759987,1454,51
/35464-a-ja-jestem-bogaty-i-umyty-meska-koszulka-na-prezent-dla-fanow-serialu-1670.html,7.515054809589041,111.95897981632653,5485.990011,832,49
/21711-zona-motocyklisty-jest-jak-normalna-zona-tylko-fajniejsza-damska-koszulka-na-prezent.html,7.5133239108910885,110.66500010416667,5311.920005,833,48
/33749-geniusz-po-prostu-geniusz-kubek-na-prezent-dla-fanow-serialu-ranczo.html,5.438461547842401,70.70000012195122,2898.700005,647,41
/37120-pachnie-jak-pierogi-solejukowej-swieczka-zapachowa-na-prezent-dla-fanow-serialu-ranczo.html,3.010797869015957,119.16421039473684,4528.239995,1698,38
/17173-pilka-nozna-dzwoni-musze-isc-dziecieca-koszulka-na-prezent.html,3.244831000994036,93.26571391428573,3264.299987,1142,35
/25308-dzien-bez-hokeja-mnie-nie-zabije-ale-po-co-ryzykowac-meska-koszulka-na-prezent.html,7.431720446236559,118.4828574,4146.900009,664,35
/35631-swieca-o-zapachu-umytego-bogdana-swieczka-zapachowa-na-prezent-dla-fanow-serialu-1670.html,2.229964452014218,125.4726665,3764.179995,1938,30
/20260-dobrze-ze-jestes-magiczny-kubek-na-prezent.html,5.104223594202899,85.011724,2465.339996,555,29
/35197-szczesc-boze-my-na-hazard-meska-koszulka-na-prezent-dla-fanow-serialu-1670.html,9.532249985,136.1749997857143,3812.899994,452,28
/35647-jaka-marchew-taka-nac-jaka-corka-taka-mac-dla-fanow-serialu-ranczo-meska-koszulka-na-prezent.html,5.163463336973479,118.20642853571428,3309.779999,707,28
/23998-jam-jest-pan-swiatla-meska-koszulka-na-prezent.html,6.725515006437768,120.5419228076923,3134.089993,534,26
/34138-wilkowyje-city-meska-koszulka-na-prezent-dla-fanow-serialu-ranczo.html,6.583944951834862,110.40769226923076,2870.599999,520,26
/1057-italian-brainrot,7.824746185279188,123.31799988,3082.949997,458,25
/18021-siatkowka-jest-bogiem-damska-koszulka-na-prezent.html,2.6976764915102773,120.74799976,3018.699994,1285,25
/788-koszulki-dla-fanow-serialu-1670,7.039417881496881,135.43840004,3385.960001,551,25
/35419-szkola-jest-wazna-ale-roblox-jest-wazniejszy-dziecieca-bluza-na-prezent-dla-fanow-gry-roblox.html,6.941948597430407,135.07874979166667,3241.889995,526,24
/19061-moze-mam-juz-swoje-lata-ale-na-rowerze-czuje-sie-jak-pan-swiata-meska-koszulka-na-prezent.html,3.323832533011272,93.8227274090909,2064.100003,704,22
/35124-michalowo-co-ja-z-ta-kobieta-mam-dla-fanow-serialu-ranczo-kubek-na-prezent.html,4.017021266924565,98.89523785714285,2076.799995,612,21
/37880-six-seven-67-dziecieca-koszulka-na-prezent-inspirowane-roblox.html,6.605143663793104,114.92949975,2298.589995,396,20
/19393-jestes-swoj-chlop-tak-sie-tylko-mowi-oczywiscie-jestes-moj-chlop-meska-koszulka-dla-fanow-serialu-1670.html,4.109582469728601,103.604737,1968.490003,586,19
/33682-swieca-o-zapachu-hybrydy-i-pogaduszek-swieczka-zapachowa-na-prezent-dla-stylistki-paznokci.html,2.3578232176781,94.06473678947368,1787.229999,874,19
/33746-geniusz-po-prostu-geniusz-meska-koszulka-na-prezent-dla-fanow-serialu-ranczo.html,7.2910273835616435,112.05157873684212,2128.979996,368,19
/29874-to-sie-jakos-zateguje-grawerowana-miara-z-notesikiem.html,1.128677357715431,62.57888905555555,1126.420003,1112,18
/33755-nie-nalezy-przesadzac-z-piciem-ale-z-niepiciem-tez-nie-kubek-na-prezent-dla-fanow-serialu-ranczo.html,5.409504136363637,72.72777783333333,1309.100001,297,18
/34133-wilkowyje-city-kubek-na-prezent-dla-fanow-serialu-ranczo.html,6.665811982905983,86.65555577777778,1559.800004,258,18
/35119-wilkowyje-city-v2-dla-fanow-serialu-ranczo-meska-bluza-na-prezent.html,9.251894715789474,146.488333,2636.789994,363,18
/35122-wilkowyje-city-v2-dla-fanow-serialu-ranczo-damska-koszulka-na-prezent.html,7.744166695833334,103.25555594444445,1858.600007,310,18
/35149-zeby-wilk-byl-syty-i-wilkowyje-city-dla-fanow-serialu-ranczo-meska-koszulka-na-prezent.html,2.8272196727688788,137.2772218888889,2470.989994,953,18
